ID, lat1, lat2, lat3, lat4, lon1, lon2, lon3, lon4
1,-17.505,-17.595,-17.055,-17.595,145.3,145.3,145.4,145.4
2,-17.055,-17.505,-17.595,-17.595,145.4,145.4,145.4,145.49
3,-17.145,-17.775,-17.865,-17.055,145.3,145.3,145.3,145.4
4,-19.665,-19.665,-19.575,-19.665,146.74,146.84,146.93,146.93
5,-19.845,-19.845,-20.025,-20.115,146.84,146.93,147.29,147.29
6,-21.195,-21.195,-21.195,-21.285,148.46,148.82,148.9,148.9
7,-20.205,-20.205,-20.385,-20.205,147.46,147.65,147.65,147.74
8,-21.195,-21.285,-21.195,-21.285,148.9,148.9,148.99,148.99
9,-22.995,-23.085,-22.995,-23.085,150.43,150.43,150.52,150.52
10,-23.805,-23.805,-23.805,-23.895,150.62,150.71,150.79,150.79
11,-24.075,-23.895,-23.985,-24.075,150.88,150.98,150.98,151.07
12,-25.065,-24.435,-24.435,-24.435,151.24,151.34,151.6,151.7
13,-25.965,-26.055,-26.055,-26.235,152.41,152.41,152.51,152.51
14,-26.415,-26.505,-26.325,-26.235,150.98,150.98,151.07,151.79
15,-26.865,-26.955,-27.585,-27.585,152.51,152.51,152.51,152.6
16,-27.945,-27.855,-27.945,-28.035,152.6,152.87,152.87,152.87
17,-28.395,-27.945,-28.035,-28.395,152.77,152.87,152.87,152.87
18,-28.665,-28.665,-28.395,-28.395,152.24,152.32,152.87,152.96
19,-27.855,-27.945,-28.035,-27.945,152.87,152.87,152.87,152.96
20,-28.305,-28.215,-28.305,-28.845,152.96,153.04,153.04,153.04
21,-28.305,-28.395,-28.215,-28.305,152.96,152.96,153.04,153.04
22,-29.025,-29.115,-29.025,-29.115,153.13,153.13,153.23,153.23
23,-28.305,-28.215,-28.215,-28.935,152.96,153.04,153.13,153.13
24,-29.025,-29.115,-29.025,-29.115,153.13,153.13,153.23,153.23
25,-29.565,-29.115,-29.565,-29.115,153.04,153.13,153.13,153.23
26,-29.925,-29.925,-29.925,-29.925,152.32,152.41,152.51,152.6
27,-29.925,-30.105,-30.105,-30.105,152.68,152.68,152.77,152.87
28,-29.925,-29.925,-29.925,-30.015,152.05,152.15,152.24,152.32
29,-29.745,-29.835,-29.835,-29.835,152.05,152.05,152.15,152.24
30,-29.025,-29.475,-29.565,-29.565,152.51,152.6,152.6,152.68
31,-29.565,-29.475,-29.565,-29.565,152.51,152.6,152.6,152.68
32,-29.025,-29.025,-29.025,-29.115,151.88,152.51,152.6,152.6
33,-29.835,-29.745,-29.745,-29.835,152.24,152.96,153.04,153.04
34,-29.655,-29.745,-29.655,-29.745,153.04,153.04,153.13,153.13
35,-29.655,-29.745,-29.655,-29.745,153.04,153.04,153.13,153.13
36,-29.475,-29.565,-29.565,-29.565,152.6,152.6,152.68,152.77
37,-29.655,-29.745,-29.655,-29.745,153.04,153.04,153.13,153.13
38,-30.825,-30.915,-30.735,-30.825,152.41,152.41,152.51,152.51
39,-31.005,-31.095,-31.005,-31.095,152.77,152.77,152.87,152.87
40,-30.735,-30.825,-30.825,-30.105,152.51,152.51,152.6,152.77
41,-31.635,-31.635,-31.635,-31.635,151.51,151.6,151.88,151.96
42,-30.285,-30.915,-30.915,-30.825,151.7,151.96,152.32,152.41
43,-30.825,-30.915,-30.825,-31.545,151.96,151.96,152.05,152.15
44,-30.825,-30.915,-30.825,-30.825,151.96,151.96,152.05,152.15
45,-30.825,-30.915,-30.825,-30.915,151.96,151.96,152.05,152.05
46,-31.725,-31.815,-31.725,-31.815,151.96,151.96,152.05,152.05
47,-31.725,-31.815,-31.905,-31.095,152.05,152.05,152.05,152.87
48,-31.095,-31.005,-31.005,-31.095,152.6,152.77,152.87,152.87
49,-31.725,-31.815,-31.815,-31.815,151.88,151.88,151.96,152.05
50,-31.815,-31.725,-31.815,-31.815,151.79,151.88,151.88,151.96
51,-31.275,-30.825,-30.915,-31.005,151.96,152.32,152.32,152.32
52,-31.725,-31.815,-31.725,-31.815,151.51,151.79,151.88,151.88
53,-31.905,-31.185,-31.275,-31.365,150.98,151.15,151.15,151.15
54,-31.725,-31.815,-31.905,-31.725,152.15,152.15,152.15,152.24
55,-32.085,-31.905,-32.085,-32.085,151.96,152.05,152.05,152.15
56,-31.725,-31.725,-31.725,-31.815,151.43,151.51,151.88,151.88
57,-32.445,-32.355,-32.445,-32.445,151.6,151.7,151.7,151.79
58,-32.445,-31.815,-31.905,-31.905,151.88,152.05,152.05,152.15
