ID, lat1, lat2, lat3, lat4, lat5, lat6, lat7, lat8, lon1, lon2, lon3, lon4, lon5, lon6, lon7, lon8
1,-17.025,-17.075,-17.625,-17.075,-17.675,-16.875,-16.875,-17.775,145.13,145.13,145.13,145.18,145.23,145.32,145.38,146.02
2,-16.875,-17.075,-16.875,-16.925,-16.925,-17.075,-17.125,-17.575,145.32,145.32,145.38,145.38,145.43,145.77,145.82,146.02
3,-17.075,-17.725,-17.675,-17.675,-17.775,-17.825,-16.925,-17.125,145.18,145.18,145.23,145.27,145.32,145.32,145.38,145.82
4,-19.725,-18.825,-19.725,-19.325,-19.325,-19.475,-19.525,-19.575,146.18,146.23,146.43,146.63,146.68,146.82,146.82,146.82
5,-19.525,-19.525,-19.675,-19.475,-20.125,-20.025,-19.775,-19.775,146.82,147.27,147.27,147.32,147.32,147.38,147.52,147.57
6,-21.325,-21.375,-21.275,-21.325,-21.375,-21.675,-21.625,-21.675,148.02,148.02,148.07,148.07,148.07,148.07,148.82,148.88
7,-20.025,-20.425,-19.675,-19.775,-20.175,-20.225,-19.975,-19.975,147.38,147.38,147.52,147.57,147.57,147.77,147.98,148.18
8,-21.825,-21.625,-21.775,-21.625,-21.625,-21.675,-21.225,-21.225,148.73,148.77,148.77,148.82,148.88,148.88,149.02,149.18
9,-22.425,-22.925,-23.025,-23.075,-23.075,-23.025,-23.075,-23.125,150.32,150.32,150.43,150.43,150.48,150.52,150.52,150.57
10,-24.225,-24.375,-24.475,-24.525,-24.525,-23.675,-24.125,-24.125,150.32,150.38,150.63,150.63,150.68,150.77,150.88,150.93
11,-23.625,-23.875,-23.675,-23.575,-24.275,-24.425,-24.375,-24.125,150.68,150.73,150.77,151.18,151.27,151.27,151.32,151.57
12,-25.125,-24.425,-24.425,-25.125,-25.125,-24.825,-24.525,-25.225,151.23,151.27,151.32,151.57,151.63,151.73,151.88,152.02
13,-26.675,-26.625,-26.625,-26.675,-26.625,-26.475,-26.625,-26.025,151.63,151.68,151.73,151.73,151.77,151.82,151.82,152.02
14,-26.075,-26.275,-26.325,-25.925,-26.575,-26.675,-26.725,-26.675,150.98,151.23,151.23,151.32,151.38,151.38,151.38,151.43
15,-27.525,-27.525,-27.575,-27.075,-27.125,-27.275,-27.375,-27.425,152.52,152.57,152.57,152.98,153.02,153.02,153.07,153.13
16,-27.575,-27.625,-27.675,-28.325,-27.525,-27.575,-27.975,-28.025,152.07,152.13,152.27,152.27,152.52,152.57,152.93,152.98
17,-28.575,-28.625,-27.675,-27.675,-28.575,-27.725,-28.375,-28.625,152.13,152.13,152.27,152.32,152.43,152.52,152.57,152.57
18,-28.375,-28.325,-27.875,-28.375,-28.425,-28.025,-28.025,-28.675,152.18,152.32,152.38,152.57,152.57,152.68,152.73,152.98
19,-27.975,-28.175,-27.475,-27.475,-27.725,-27.775,-27.725,-28.375,152.93,152.93,153.07,153.13,153.23,153.23,153.27,153.52
20,-27.975,-28.125,-28.175,-28.025,-28.725,-28.075,-28.575,-28.375,152.93,152.93,152.93,152.98,152.98,153.38,153.48,153.52
21,-27.975,-28.175,-28.025,-28.025,-28.175,-28.575,-28.375,-28.425,152.93,152.93,152.98,153.32,153.48,153.48,153.52,153.52
22,-28.975,-29.025,-29.075,-28.175,-28.575,-28.425,-28.925,-28.725,153.23,153.32,153.32,153.48,153.48,153.52,153.52,153.57
23,-28.375,-28.625,-28.675,-28.925,-28.975,-28.175,-28.075,-28.575,152.57,152.57,152.57,152.68,152.68,152.93,153.32,153.48
24,-28.925,-28.725,-28.975,-29.025,-29.075,-28.575,-28.375,-28.425,152.73,152.98,153.23,153.32,153.32,153.48,153.52,153.52
25,-29.275,-29.325,-28.675,-29.275,-29.325,-28.925,-28.975,-29.525,152.52,152.52,152.57,152.57,152.57,152.68,152.68,153.07
26,-30.275,-30.325,-30.675,-30.725,-30.025,-30.675,-30.225,-30.175,152.43,152.48,152.77,152.77,152.82,152.82,152.88,153.02
27,-30.725,-30.025,-30.675,-29.825,-30.225,-30.275,-30.175,-30.125,152.77,152.82,152.82,152.88,152.88,152.88,153.02,153.07
28,-30.675,-30.625,-30.575,-30.625,-29.975,-30.075,-30.125,-30.325,151.68,151.73,151.77,151.77,152.02,152.02,152.02,152.02
29,-29.675,-29.625,-29.375,-29.425,-29.725,-29.725,-30.025,-29.725,151.38,151.43,151.48,151.48,151.48,151.52,151.52,151.57
30,-29.475,-29.375,-29.025,-29.375,-29.025,-29.075,-29.375,-29.325,151.77,151.82,151.88,151.88,151.93,152.38,152.48,152.57
31,-29.475,-29.375,-29.375,-30.075,-30.125,-29.375,-29.275,-29.325,151.77,151.82,151.88,152.02,152.02,152.48,152.57,152.57
32,-29.025,-29.375,-29.025,-28.575,-28.575,-28.625,-28.675,-29.325,151.88,151.88,151.93,152.07,152.13,152.27,152.57,152.57
33,-30.275,-30.275,-30.625,-30.025,-29.775,-29.825,-30.225,-30.175,152.43,152.68,152.77,152.82,152.88,152.88,152.88,153.02
34,-29.375,-29.325,-30.025,-29.775,-29.825,-30.225,-30.175,-29.525,152.48,152.57,152.82,152.88,152.88,152.88,153.02,153.07
35,-29.325,-29.225,-29.275,-29.325,-29.825,-29.675,-29.525,-29.025,152.52,152.57,152.57,152.57,152.57,153.02,153.07,153.32
36,-29.575,-29.975,-29.225,-29.075,-29.375,-29.275,-29.275,-29.325,151.98,152.02,152.07,152.38,152.48,152.52,152.57,152.57
37,-29.075,-29.275,-29.325,-29.425,-28.975,-29.325,-29.675,-29.525,152.38,152.57,152.57,152.63,152.68,152.68,153.02,153.07
38,-30.275,-30.275,-30.675,-30.725,-30.025,-30.675,-30.225,-30.175,152.43,152.68,152.77,152.77,152.82,152.82,152.88,153.02
39,-30.275,-30.275,-31.025,-30.675,-30.725,-30.675,-30.225,-30.175,152.43,152.68,152.68,152.77,152.77,152.82,152.88,153.02
40,-30.275,-30.325,-30.725,-30.025,-30.225,-30.275,-30.175,-30.125,152.43,152.48,152.77,152.82,152.88,152.88,153.02,153.07
41,-30.825,-30.875,-30.825,-30.875,-30.825,-31.025,-31.125,-31.425,151.52,151.52,151.57,151.57,151.63,151.73,152.13,152.32
42,-30.975,-30.075,-30.575,-30.625,-30.075,-30.325,-30.325,-30.875,151.63,151.73,151.77,151.77,152.02,152.02,152.07,152.07
43,-30.725,-30.725,-30.875,-30.925,-30.975,-31.025,-31.525,-30.875,151.52,151.57,151.57,151.57,151.63,151.68,151.73,152.07
44,-30.575,-30.625,-30.225,-30.275,-30.275,-30.275,-30.325,-31.125,151.57,151.57,151.63,151.77,151.82,151.88,152.07,152.13
45,-30.975,-30.575,-30.575,-30.625,-30.275,-30.275,-30.225,-31.125,151.38,151.57,151.63,151.68,151.82,151.88,152.13,152.13
46,-30.925,-31.125,-31.025,-31.775,-31.425,-31.825,-31.825,-31.025,152.02,152.13,152.23,152.23,152.32,152.52,152.57,152.68
47,-31.125,-31.025,-31.775,-31.825,-31.425,-31.725,-31.825,-31.825,152.13,152.23,152.23,152.27,152.32,152.48,152.52,152.57
48,-31.425,-31.775,-31.825,-31.825,-31.025,-30.925,-31.075,-31.025,152.32,152.52,152.52,152.57,152.68,152.93,152.93,152.98
49,-30.925,-31.125,-31.025,-31.775,-31.425,-31.475,-31.825,-31.825,152.02,152.13,152.23,152.23,152.32,152.43,152.52,152.57
50,-31.625,-31.675,-31.775,-31.825,-31.825,-31.425,-31.925,-31.925,151.93,151.98,152.23,152.23,152.27,152.32,152.32,152.38
51,-30.975,-30.975,-30.625,-30.575,-30.875,-30.575,-30.575,-31.425,151.57,151.63,151.77,151.98,152.02,152.07,152.13,152.32
52,-31.575,-31.675,-31.975,-32.025,-31.125,-31.775,-31.825,-31.925,151.88,151.98,152.02,152.07,152.13,152.23,152.23,152.23
53,-31.375,-31.425,-31.325,-31.375,-31.425,-31.375,-31.275,-32.025,150.88,150.88,150.93,150.93,150.93,150.98,151.02,151.07
54,-32.075,-32.175,-31.425,-31.725,-31.775,-31.825,-31.525,-31.825,152.18,152.23,152.32,152.48,152.52,152.52,152.57,152.57
55,-32.075,-31.675,-32.075,-31.425,-31.875,-31.925,-31.475,-31.825,151.93,151.98,152.27,152.32,152.32,152.38,152.43,152.57
56,-31.725,-31.575,-32.125,-31.675,-32.025,-32.075,-31.825,-32.125,151.43,151.88,151.93,151.98,152.07,152.13,152.23,152.23
57,-32.725,-32.725,-31.775,-32.725,-32.325,-32.675,-32.575,-32.325,151.52,151.57,151.63,151.63,152.18,152.18,152.27,152.32
58,-32.075,-32.125,-32.075,-32.325,-32.175,-31.825,-31.825,-31.875,151.93,151.93,152.18,152.18,152.23,152.52,152.57,152.57
59,-32.325,-32.525,-32.025,-32.425,-32.475,-32.525,-32.375,-32.425,150.88,150.93,151.07,151.07,151.07,151.07,151.18,151.18
60,-31.975,-31.925,-31.975,-32.325,-31.975,-32.225,-32.325,-32.375,150.82,150.88,150.88,150.88,151.02,151.02,151.13,151.18
61,-32.525,-32.575,-32.675,-32.675,-32.675,-32.775,-32.775,-32.075,151.07,151.07,151.07,151.43,151.48,151.52,151.68,151.93
62,-32.525,-32.725,-32.725,-32.325,-32.525,-32.575,-32.425,-32.475,150.32,150.57,150.63,150.88,150.93,150.98,151.07,151.07
63,-31.375,-31.425,-31.675,-32.075,-32.125,-31.375,-31.375,-31.425,150.52,150.57,150.68,150.73,150.82,150.88,150.93,150.93
64,-32.175,-32.525,-32.525,-32.675,-32.625,-32.675,-32.675,-32.675,150.82,150.93,151.07,151.07,151.13,151.18,151.48,151.52
65,-31.725,-31.775,-32.525,-32.175,-31.725,-32.025,-31.725,-31.725,150.43,150.77,151.02,151.18,151.23,151.27,151.32,151.38
66,-33.025,-33.325,-33.425,-33.275,-33.325,-33.425,-33.275,-32.775,151.13,151.18,151.18,151.23,151.23,151.27,151.48,151.52
67,-33.625,-33.675,-33.725,-33.225,-33.625,-33.325,-33.675,-33.675,150.88,150.88,150.88,150.93,150.93,151.18,151.23,151.27
68,-33.625,-33.675,-33.625,-33.675,-33.725,-33.725,-33.375,-32.775,150.82,150.82,150.88,150.88,150.88,150.93,151.27,151.52
69,-34.575,-35.075,-34.775,-35.075,-35.075,-34.275,-34.125,-34.175,149.18,149.27,149.32,149.43,149.48,149.63,150.02,150.02
70,-34.125,-34.075,-33.575,-33.625,-33.825,-33.875,-33.925,-34.125,150.52,150.63,150.68,150.68,150.68,150.68,150.68,150.68
71,-35.475,-35.075,-35.125,-35.075,-35.125,-35.125,-35.425,-35.475,149.38,149.43,149.43,149.48,149.57,149.68,149.82,149.82
72,-34.825,-35.025,-35.475,-35.125,-34.875,-35.325,-35.275,-35.325,149.68,149.73,149.82,150.13,150.27,150.38,150.43,150.43
73,-35.575,-36.125,-36.175,-35.675,-35.725,-35.475,-35.725,-35.775,149.18,149.18,149.18,149.77,149.77,149.82,150.02,150.02
74,-35.325,-35.275,-35.325,-35.175,-34.875,-34.875,-34.925,-34.575,150.38,150.43,150.43,150.57,150.63,150.68,150.68,150.77
75,-35.625,-35.725,-35.475,-35.725,-35.475,-35.325,-35.275,-35.325,149.57,149.77,149.82,150.02,150.23,150.38,150.43,150.43
